"sale_price","living_area","basement_area","overall_quality","year_built","neighborhood","garage_capacity","sale_price_bc"
221000,1839,1195,"Good",1998,"Northridge",2,82.7277460508897
410000,3238,2033,"Very_Good",1995,"Northridge",3,97.2175813774097
221500,1595,1595,"Very_Good",2005,"Somerset",3,82.7767586423926
204500,1218,1218,"Good",2009,"Somerset",2,81.0615553287195
215200,1547,756,"Good",2009,"Somerset",2,82.1530303763927
262500,1566,1566,"Very_Good",2008,"Somerset",2,86.5403811167574
254900,1947,991,"Good",2004,"Somerset",2,85.877803484916
271500,1468,1468,"Above_Average",2005,"Somerset",2,87.3066585790562
233000,2084,956,"Good",2004,"Sawyer_West",2,83.8818056661001
181000,1659,831,"Good",2004,"Sawyer_West",2,78.5048796349552
205000,2110,948,"Good",1994,"Sawyer_West",2,81.113501340915
143000,923,923,"Above_Average",1980,"Sawyer_West",1,73.7846676947359
189000,1845,1055,"Above_Average",1992,"Sawyer_West",2,79.4018035666551
99500,918,918,"Above_Average",1979,"Sawyer_West",1,67.0420952294342
125000,752,744,"Above_Average",1984,"Sawyer_West",1,71.2120618617279
194500,1744,996,"Good",1993,"Sawyer_West",2,80.0020515391379
152000,1097,1040,"Above_Average",1984,"Sawyer_West",2,74.9806835921147
171000,1564,650,"Above_Average",1980,"Sawyer_West",2,77.3409085331809
67500,1012,816,"Average",1920,"Sawyer_West",1,60.4741959094125
112000,1902,0,"Above_Average",1978,"Sawyer",2,69.1752975382956
148000,1155,1109,"Average",1961,"Sawyer",2,74.4558659357911
138500,894,894,"Average",1965,"Sawyer",1,73.1653685347066
122000,900,882,"Average",1967,"Sawyer",1,70.7566702234881
133000,1040,1040,"Average",1963,"Sawyer",1,72.3876063849323
127000,1040,1040,"Average",1962,"Sawyer",1,71.5111216840655
169000,1494,1208,"Above_Average",1974,"Sawyer",2,77.1020192914469
190000,1923,750,"Good",1992,"Northridge",2,79.5119051971938
362500,2349,1231,"Very_Good",1993,"Northridge",3,94.1492519738884
285000,2225,1390,"Very_Good",1992,"Northridge",3,88.4211155614616
260000,1488,1488,"Good",2004,"Somerset",2,86.324034574129
190000,1680,840,"Good",2004,"Somerset",2,79.5119051971938
155000,1200,600,"Good",2004,"Somerset",2,75.3675393294352
151000,1200,600,"Good",2004,"Somerset",2,74.850459433488
149500,1200,600,"Good",2004,"Somerset",2,74.6539050355288
152000,1236,600,"Above_Average",2005,"Somerset",2,74.9806835921147
222000,1478,1470,"Good",2009,"Somerset",2,82.8256883255724
177500,1573,756,"Above_Average",2000,"Somerset",2,78.1031048045145
177000,1512,756,"Above_Average",2000,"Somerset",2,78.0452245395675
155000,1416,696,"Good",1999,"Somerset",2,75.3675393294352
147110,1080,530,"Good",2003,"Somerset",2,74.3376501637435
267916,1418,1642,"Very_Good",2010,"Somerset",3,87.0038265380627
254000,1848,975,"Very_Good",2000,"Somerset",2,85.798363168527
155000,788,728,"Very_Good",1980,"Greens",2,75.3675393294352
206000,1226,1226,"Very_Good",1978,"Greens",2,81.2171089597772
130500,1479,725,"Above_Average",1976,"Sawyer",2,72.026083667517
230000,1492,1492,"Good",2002,"Somerset",2,83.5975481237937
218500,1829,1829,"Above_Average",1967,"Northwest_Ames",2,82.4814278976299
243500,2495,1280,"Above_Average",1993,"Northwest_Ames",2,84.8555854549629
205000,1610,1610,"Above_Average",1977,"Northwest_Ames",2,81.113501340915
212500,1891,1224,"Above_Average",1978,"Northwest_Ames",2,81.8815205142195
196500,1714,980,"Good",1988,"Northwest_Ames",2,80.217167388701
197500,1381,1161,"Above_Average",1972,"Northwest_Ames",2,80.3241100388997
171000,1645,715,"Above_Average",1971,"Northwest_Ames",2,77.3409085331809
142250,1232,1232,"Average",1966,"North_Ames",2,73.6824760998692
143000,1328,1328,"Above_Average",1963,"Northwest_Ames",2,73.7846676947359
128950,1225,950,"Below_Average",1959,"North_Ames",0,71.7993232074809
159000,1209,1209,"Average",1966,"North_Ames",2,75.8747059585236
178900,1510,1510,"Average",1967,"North_Ames",2,78.2645216020741
136300,1775,533,"Above_Average",1964,"North_Ames",2,72.8570932408448
180500,1152,1152,"Average",1964,"North_Ames",2,78.447842006928
137500,1054,936,"Above_Average",1963,"North_Ames",2,73.0257021368616
84900,1728,1728,"Average",1962,"North_Ames",0,64.278962579895
142125,1078,1078,"Average",1950,"North_Ames",1,73.6654049031239
197600,2461,1140,"Average",1952,"North_Ames",2,80.3347819507807
172500,1556,782,"Above_Average",1949,"North_Ames",2,77.5187039294324
116500,858,858,"Average",1958,"Brookside",0,69.8994953506472
76500,1306,728,"Fair",1940,"Brookside",0,62.5235397397086
128000,1063,1056,"Average",1954,"North_Ames",1,71.6593287202541
153000,1520,1156,"Above_Average",1955,"North_Ames",1,75.1102667736277
132000,1268,1268,"Average",1954,"North_Ames",1,72.2436140267969
178000,1128,1080,"Above_Average",1966,"North_Ames",1,78.1608629160702
154300,2274,1105,"Average",1960,"North_Ames",2,75.2777786599041
180000,2207,1947,"Good",1970,"North_Ames",2,78.3906857562847
190000,1888,1517,"Above_Average",1966,"North_Ames",2,79.5119051971938
135000,1604,1604,"Average",1958,"North_Ames",2,72.6731725095527
214000,1480,1480,"Good",2003,"North_Ames",2,82.032676605933
136000,1143,1143,"Average",1959,"North_Ames",1,72.814767152335
165500,1700,1398,"Average",1959,"North_Ames",2,76.6788113086612
145000,1314,1314,"Average",1957,"North_Ames",1,74.0552271452151
148000,1194,1194,"Above_Average",1959,"North_Ames",1,74.4558659357911
142000,1188,1188,"Average",1959,"North_Ames",2,73.6483224419779
167500,1264,1268,"Average",1960,"North_Ames",2,76.9214570895628
108538,1206,1206,"Average",1959,"North_Ames",1,68.6031468828491
159500,1580,1244,"Above_Average",1959,"North_Ames",2,75.9374266240106
108000,1337,832,"Below_Average",1956,"North_Ames",1,68.5130095365624
135000,1064,864,"Average",1952,"North_Ames",1,72.6731725095527
122500,972,972,"Average",1955,"North_Ames",1,70.8331477354788
119000,988,988,"Average",1958,"North_Ames",1,70.2928008585711
109000,1057,1057,"Average",1953,"North_Ames",1,68.6802840263447
105000,985,576,"Below_Average",1920,"North_Ames",2,68.0041148735702
107500,827,0,"Average",1955,"North_Ames",1,68.4289363406753
144900,1086,1086,"Average",1954,"North_Ames",2,74.0417658655657
129000,936,936,"Average",1956,"North_Ames",1,71.8066698829447
97500,1458,912,"Above_Average",1948,"North_Ames",1,66.6823768609879
144000,1056,1056,"Above_Average",1980,"Old_Town",2,73.9202997140237
162000,1287,1063,"Average",1959,"North_Ames",2,76.2488365971706
242000,2978,710,"Good",1967,"North_Ames",2,84.7184269517853
132000,1224,816,"Above_Average",1948,"North_Ames",1,72.2436140267969
154000,1246,1246,"Average",1959,"North_Ames",1,75.2392162916289
166000,1385,910,"Average",1952,"North_Ames",2,76.7396780522952
134800,900,900,"Average",1951,"North_Ames",2,72.6447592482321
160000,1116,1116,"Above_Average",1962,"North_Ames",2,76
148000,1175,1175,"Average",1960,"North_Ames",2,74.4558659357911
192000,1395,1395,"Above_Average",1963,"North_Ames",2,79.7308111513684
155000,1839,756,"Above_Average",1966,"North_Ames",2,75.3675393294352
80400,1844,709,"Below_Average",1900,"Old_Town",1,63.355645652035
96500,1140,576,"Below_Average",1910,"Old_Town",0,66.5004387322725
109500,936,936,"Average",1920,"Old_Town",0,68.7634899828738
115000,1028,1008,"Average",1927,"Old_Town",2,69.6604642023129
143000,1347,1347,"Average",1957,"Old_Town",2,73.7846676947359
107400,1605,840,"Fair",1915,"Old_Town",1,68.4120865230084
80000,747,747,"Below_Average",1945,"Old_Town",1,63.2717132202972
119000,804,788,"Average",1940,"Old_Town",1,70.2928008585711
130000,1316,926,"Average",1929,"Old_Town",2,71.9531568846377
119000,1251,827,"Above_Average",1938,"Old_Town",1,70.2928008585711
129000,1633,1027,"Average",1948,"Old_Town",1,71.8066698829447
100000,1245,1008,"Average",1920,"Old_Town",1,67.1311764015569
12789,832,678,"Poor",1923,"Old_Town",2,38.537223407237
105900,720,624,"Above_Average",1928,"Old_Town",2,68.1579159239466
150000,1566,930,"Very_Good",1900,"Old_Town",1,74.7195868506172
139000,1652,686,"Average",1915,"Old_Town",1,73.234918284014
240000,2268,346,"Very_Good",1890,"Old_Town",2,84.5345535760257
76500,2256,840,"Average",1910,"Old_Town",0,62.5235397397086
149700,1236,912,"Above_Average",1957,"Old_Town",2,74.6801975028596
125500,1363,622,"Below_Average",1910,"Old_Town",2,71.2871613680173
122500,2290,777,"Below_Average",1885,"Old_Town",2,70.8331477354788
140750,1470,738,"Above_Average",1922,"Old_Town",2,73.476874448685
128500,1612,988,"Average",1950,"Brookside",1,71.7331067978805
209500,2068,1108,"Good",1922,"Brookside",1,81.5767912138643
87000,765,765,"Below_Average",1925,"Brookside",1,64.6973215285781
134000,1132,608,"Above_Average",1939,"Brookside",1,72.5307890307646
128000,1196,572,"Above_Average",1940,"Brookside",2,71.6593287202541
132000,1453,835,"Average",1942,"Brookside",1,72.2436140267969
139900,1416,780,"Above_Average",1948,"Brookside",1,73.359636419549
123900,1040,528,"Average",1936,"Brookside",2,71.046046465989
138400,1536,928,"Average",1930,"Brookside",2,73.1514359949071
109500,1068,1124,"Above_Average",1923,"Old_Town",1,68.7634899828738
140000,1710,576,"Good",1921,"Old_Town",2,73.3734568107068
149500,1962,888,"Below_Average",1915,"Old_Town",2,74.6539050355288
159900,1560,780,"Above_Average",1912,"Old_Town",0,75.9874970692439
122000,1324,662,"Above_Average",1920,"Old_Town",1,70.7566702234881
110000,816,816,"Average",1963,"Iowa_DOT_and_Rail_Road",2,68.8464114735149
55000,1092,0,"Below_Average",1930,"Iowa_DOT_and_Rail_Road",0,57.2562862721757
140000,1812,360,"Average",1900,"Old_Town",2,73.3734568107068
244400,2403,1032,"Good",1940,"Clear_Creek",1,84.9375766499026
173000,1675,1422,"Average",1959,"Clear_Creek",1,77.5777113541887
107500,1224,689,"Average",1917,"Clear_Creek",1,68.4289363406753
100000,1392,1212,"Average",1915,"South_and_West_of_Iowa_State_University",0,67.1311764015569
95000,919,600,"Above_Average",1940,"South_and_West_of_Iowa_State_University",1,66.2248617113283
93369,1884,707,"Below_Average",1907,"South_and_West_of_Iowa_State_University",0,65.9214890047813
114900,1680,856,"Average",1910,"South_and_West_of_Iowa_State_University",2,69.6444458335933
94000,1020,780,"Average",1875,"Sawyer",0,66.0393254490781
136000,1832,1832,"Below_Average",1967,"Sawyer",0,72.814767152335
136500,1768,1768,"Below_Average",1968,"Sawyer",0,72.8852718315515
131500,1039,1039,"Average",1965,"Sawyer",2,72.1713108501488
121500,1392,1392,"Average",1957,"Sawyer",2,70.6799572746174
125000,912,912,"Average",1967,"Sawyer",1,71.2120618617279
154000,1060,1060,"Average",1968,"Sawyer",1,75.2392162916289
137900,892,864,"Average",1966,"Sawyer",1,73.081659821521
158000,1352,663,"Above_Average",1969,"Sawyer",1,75.7488195059499
137250,864,864,"Average",1968,"Sawyer",1,72.9906665571202
160250,1373,1319,"Average",1978,"Sawyer",2,76.0312317061245
163000,1440,720,"Average",1968,"Sawyer",2,76.3723917537585
158900,1386,672,"Above_Average",1978,"Sawyer",2,75.8621440793967
328000,2260,1306,"Good",1996,"Clear_Creek",2,91.7256782712814
270000,1483,1420,"Good",1977,"Clear_Creek",2,87.1802822781911
85000,756,660,"Below_Average",1927,"Sawyer",2,64.2990594069658
128000,1067,1067,"Below_Average",1950,"Sawyer",2,71.6593287202541
260000,1524,1332,"Good",1979,"Clear_Creek",2,86.324034574129
230000,1981,1117,"Above_Average",1978,"Clear_Creek",2,83.5975481237937
124000,1610,972,"Fair",1938,"Edwards",1,71.0611843480429
83000,835,458,"Average",1920,"Edwards",1,63.893705842914
144500,1074,663,"Above_Average",1950,"Edwards",1,73.9878509692338
129000,1144,1144,"Average",1956,"Edwards",1,71.8066698829447
127000,1531,756,"Below_Average",1947,"Edwards",1,71.5111216840655
128000,1172,1172,"Average",1954,"Edwards",1,71.6593287202541
186000,1212,1212,"Above_Average",2009,"Edwards",2,79.0688555892719
308030,1508,1508,"Good",2009,"Edwards",2,90.2341343239253
114000,1298,1250,"Average",1964,"Edwards",2,69.4998079260274
84900,930,0,"Below_Average",1946,"Edwards",1,64.278962579895
178000,1732,741,"Above_Average",1985,"Sawyer_West",2,78.1608629160702
270000,1433,1433,"Good",1987,"Sawyer_West",2,87.1802822781911
218000,1802,946,"Above_Average",1993,"Sawyer_West",4,82.4319108845477
236000,1949,1050,"Good",1993,"Sawyer_West",2,84.1633313399302
147000,996,936,"Above_Average",1992,"Sawyer_West",2,74.3230020112729
245350,1694,1694,"Very_Good",2008,"College_Creek",3,85.0238776097487
206000,1208,1187,"Good",2006,"College_Creek",2,81.2171089597772
198900,1226,1226,"Good",2009,"College_Creek",3,80.4731495725883
187000,1222,1222,"Good",2010,"College_Creek",2,79.180282876056
320000,3222,1673,"Good",1990,"Sawyer_West",3,91.1365692002177
138500,1445,676,"Above_Average",1900,"Sawyer_West",2,73.1653685347066
155000,1052,1010,"Above_Average",1971,"Clear_Creek",2,75.3675393294352
159000,965,870,"Average",1996,"College_Creek",2,75.8747059585236
191000,1692,878,"Good",1997,"College_Creek",2,79.6215730699434
200500,1682,804,"Above_Average",1998,"College_Creek",2,80.6425201462964
150000,1026,1026,"Average",1977,"College_Creek",1,74.7195868506172
161750,1392,689,"Above_Average",1977,"College_Creek",1,76.2178584649382
128200,894,894,"Average",1976,"College_Creek",1,71.6888658442562
127000,876,876,"Average",1972,"College_Creek",2,71.5111216840655
318000,1978,1978,"Very_Good",2003,"College_Creek",3,90.9875686346265
272000,1601,1581,"Very_Good",2001,"College_Creek",2,87.3486676348341
237000,1829,941,"Good",2003,"College_Creek",2,84.2565766646791
240000,2098,1040,"Good",1997,"College_Creek",2,84.5345535760257
224900,1661,1649,"Good",1998,"College_Creek",2,83.1078621530961
143750,848,848,"Above_Average",2003,"College_Creek",2,73.886458099218
143000,848,848,"Above_Average",2004,"College_Creek",2,73.7846676947359
232000,1668,1657,"Very_Good",2003,"College_Creek",2,83.787359741748
213000,1484,1473,"Good",2004,"College_Creek",2,81.9319945415976
185500,1414,1414,"Good",2004,"College_Creek",2,79.0129733809997
84900,640,0,"Fair",1945,"Edwards",1,64.278962579895
155891,992,381,"Average",1954,"Edwards",1,75.4813531150206
100000,1664,0,"Average",1965,"Edwards",0,67.1311764015569
144000,1196,1196,"Average",1968,"Edwards",1,73.9202997140237
64000,1120,744,"Below_Average",1948,"Edwards",2,59.621658301364
125200,1096,1008,"Above_Average",1975,"Edwards",1,71.2421286524067
107000,1117,1029,"Above_Average",1976,"Edwards",2,68.3445693526111
90000,960,960,"Below_Average",1958,"Edwards",0,65.2820323027551
140000,1121,1121,"Below_Average",2003,"Edwards",2,73.3734568107068
113000,1487,735,"Above_Average",1945,"Edwards",1,69.3380911973506
80000,924,672,"Below_Average",1941,"Edwards",1,63.2717132202972
144500,1526,1216,"Average",1957,"Edwards",1,73.9878509692338
104000,1296,1107,"Average",1924,"South_and_West_of_Iowa_State_University",1,67.8320608009479
128000,1647,806,"Above_Average",1915,"South_and_West_of_Iowa_State_University",1,71.6593287202541
58500,864,864,"Fair",1914,"Edwards",1,58.2083894598092
127000,1691,1026,"Average",1924,"South_and_West_of_Iowa_State_University",1,71.5111216840655
126000,856,856,"Above_Average",1939,"South_and_West_of_Iowa_State_University",2,71.3620368075043
160000,2650,0,"Below_Average",1967,"South_and_West_of_Iowa_State_University",0,76
100000,1666,894,"Average",1931,"South_and_West_of_Iowa_State_University",0,67.1311764015569
169000,2447,804,"Above_Average",1919,"South_and_West_of_Iowa_State_University",1,77.1020192914469
257500,2133,1528,"Good",1941,"Crawford",1,86.1061221675518
215000,2177,1032,"Average",1950,"Crawford",2,82.1330064284103
266500,2340,1152,"Good",1941,"Crawford",1,86.8833432453373
335000,1902,1902,"Good",1959,"Crawford",2,92.2323725272955
203135,1652,423,"Good",1994,"Crawford",2,80.9192560777952
185000,1034,982,"Very_Good",1989,"Blueste",2,78.956978088851
162500,1191,1191,"Very_Good",1989,"Blueste",2,76.3106854574087
289000,1801,1501,"Good",1959,"Crawford",2,88.7437072563847
125500,1154,796,"Below_Average",1922,"Iowa_DOT_and_Rail_Road",1,71.2871613680173
82000,540,480,"Poor",1941,"Iowa_DOT_and_Rail_Road",1,63.6882762393048
110000,1107,629,"Above_Average",1921,"Iowa_DOT_and_Rail_Road",1,68.8464114735149
68400,1128,698,"Below_Average",1920,"Iowa_DOT_and_Rail_Road",2,60.6880436077568
102776,1178,859,"Below_Average",1900,"Iowa_DOT_and_Rail_Road",1,67.6197695255969
55993,1044,540,"Average",1952,"Iowa_DOT_and_Rail_Road",2,57.5309223935158
50138,952,756,"Below_Average",1896,"Iowa_DOT_and_Rail_Road",1,55.85518022772
246000,1646,1594,"Very_Good",2004,"Crawford",2,85.0827813400987
254900,1916,1049,"Very_Good",1998,"Mitchell",3,85.877803484916
190000,1285,1243,"Above_Average",1977,"Mitchell",2,79.5119051971938
201000,1560,1560,"Good",2003,"Mitchell",2,80.6952405207469
169900,1034,1012,"Above_Average",1976,"Mitchell",3,77.2097803873892
170000,2048,1958,"Above_Average",1976,"Mitchell",2,77.2217273947572
160000,1687,747,"Average",1948,"Timberland",2,76
220000,1346,1336,"Good",2008,"Timberland",3,82.6294708267197
179781,1214,1214,"Good",2009,"Timberland",2,78.365613814059
174000,1444,384,"Average",2006,"Timberland",2,77.6953435434147
269500,1968,774,"Very_Good",2009,"Timberland",3,87.138039838188
214900,1894,817,"Good",2002,"Timberland",2,82.1229892151888
202900,1908,967,"Very_Good",2002,"Timberland",2,80.8946853631918
378500,2018,2002,"Excellent",2008,"Timberland",3,95.2148002355198
169000,1264,1068,"Average",1965,"Mitchell",2,77.1020192914469
173500,1430,1430,"Average",2004,"Mitchell",2,77.6365910109598
139000,1824,912,"Above_Average",1971,"Mitchell",0,73.234918284014
166500,1344,1344,"Average",1999,"Mitchell",2,76.8004074506621
83500,1092,546,"Below_Average",1973,"Meadow_Village",1,63.9957252228106
119500,945,945,"Average",1973,"Meadow_Village",1,70.3707168553723
85000,1112,536,"Average",1976,"Meadow_Village",1,64.2990594069658
76000,1092,546,"Below_Average",1970,"Meadow_Village",0,62.4145737068971
75500,630,630,"Below_Average",1972,"Meadow_Village",0,62.3050686787285
88250,1092,546,"Below_Average",1970,"Meadow_Village",0,64.9427606700235
85500,1092,546,"Below_Average",1972,"Meadow_Village",1,64.3992783990321
130000,874,864,"Average",1971,"Mitchell",1,71.9531568846377
157900,1188,1188,"Average",1962,"Mitchell",1,75.7361980258513
149900,833,833,"Average",1984,"Mitchell",2,74.7064636382165
159000,2432,1216,"Average",1985,"Mitchell",2,75.8747059585236
136000,1274,624,"Average",1991,"Mitchell",2,72.814767152335
161000,1479,864,"Average",1969,"Mitchell",1,76.1247080947971
285000,1803,1679,"Very_Good",1994,"Mitchell",2,88.4211155614616
231000,1797,1152,"Above_Average",1993,"Mitchell",2,83.6926080011689
124500,882,882,"Above_Average",1956,"North_Ames",1,71.136736717805
157000,1434,1434,"Above_Average",1974,"North_Ames",2,75.6223340650779
345000,2704,1952,"Very_Good",1972,"North_Ames",2,92.9426227186813
189500,1608,945,"Above_Average",1997,"Gilbert",2,79.4569088517976
270000,2283,1008,"Very_Good",2003,"Gilbert",3,87.1802822781911
189000,1628,384,"Good",1996,"Gilbert",2,79.4018035666551
377500,1746,1746,"Excellent",2006,"Gilbert",3,95.149203637526
168500,1474,384,"Good",1995,"Gilbert",2,77.041965922401
375000,2522,2208,"Very_Good",2004,"Stone_Brook",2,94.9846400767953
278000,1659,1501,"Very_Good",2000,"Stone_Brook",2,87.8483143500032
240000,1478,1418,"Very_Good",1998,"Stone_Brook",2,84.5345535760257
239500,1734,1587,"Very_Good",1995,"Stone_Brook",2,84.4884057607265
177500,1382,384,"Good",1998,"Gilbert",2,78.1031048045145
185000,1718,832,"Good",1998,"Gilbert",2,78.956978088851
191000,1636,952,"Above_Average",1998,"Gilbert",2,79.6215730699434
178000,1571,799,"Above_Average",1993,"Gilbert",2,78.1608629160702
185000,1470,680,"Above_Average",1993,"Gilbert",2,78.956978088851
181316,1516,707,"Above_Average",1994,"Gilbert",2,78.5408665001339
166000,1190,1181,"Above_Average",1993,"Gilbert",2,76.7396780522952
178000,1593,808,"Above_Average",1992,"Gilbert",2,78.1608629160702
174000,1481,702,"Above_Average",1994,"Gilbert",2,77.6953435434147
173000,1167,1158,"Above_Average",1992,"Gilbert",2,77.5777113541887
225000,1983,978,"Good",1999,"Gilbert",2,83.1175434938573
180500,1442,1424,"Good",1990,"Gilbert",2,78.447842006928
187500,1360,1220,"Very_Good",1984,"Stone_Brook",2,79.2358290057563
501837,2234,2216,"Excellent",2008,"Stone_Brook",3,102.463480720101
372500,2046,2046,"Very_Good",2008,"Stone_Brook",3,94.819251629361
260000,1530,1530,"Good",2005,"Stone_Brook",2,86.324034574129
185000,1934,1122,"Average",1977,"Gilbert",2,78.956978088851
260000,2353,845,"Good",1980,"Northwest_Ames",2,86.324034574129
181000,1586,1362,"Above_Average",1979,"Northwest_Ames",2,78.5048796349552
82500,1411,1386,"Good",1977,"Northwest_Ames",2,63.7912244854039
215000,1602,1602,"Above_Average",1977,"Northwest_Ames",2,82.1330064284103
154000,2050,832,"Good",1978,"Northwest_Ames",2,75.2392162916289
200000,1671,1427,"Above_Average",1978,"Northwest_Ames",2,80.5897010752451
249000,2673,1043,"Good",1980,"Northwest_Ames",2,85.3531419029
187500,1472,1372,"Good",1980,"Northwest_Ames",2,79.2358290057563
184000,1707,1140,"Above_Average",1978,"Northwest_Ames",2,78.8446461073298
278000,2524,2524,"Very_Good",1981,"Northwest_Ames",2,87.8483143500032
157000,1601,1271,"Good",1978,"Northwest_Ames",2,75.6223340650779
152000,1370,1090,"Good",1976,"Northwest_Ames",2,74.9806835921147
197500,1868,780,"Average",1976,"Northwest_Ames",2,80.3241100388997
240900,1884,926,"Good",2003,"Somerset",2,84.6174382543139
263435,1935,832,"Very_Good",2009,"Somerset",2,86.6208977029291
220000,1874,1058,"Very_Good",2000,"Somerset",2,82.6294708267197
235000,1811,972,"Very_Good",2002,"Somerset",2,84.0697892121136
213000,1621,1621,"Average",1975,"Northwest_Ames",2,81.9319945415976
167900,1116,1116,"Above_Average",1974,"Northwest_Ames",2,76.969725203531
158000,1193,1176,"Good",1975,"Northwest_Ames",2,75.7488195059499
165000,1350,1064,"Above_Average",1974,"Northwest_Ames",2,76.617806492789
158000,2119,689,"Above_Average",1972,"Northwest_Ames",2,75.7488195059499
136000,1792,896,"Average",1974,"North_Ames",0,72.814767152335
148500,1002,1002,"Average",1970,"North_Ames",2,74.5220455525661
156000,1026,1026,"Above_Average",1969,"North_Ames",2,75.4952429432232
128000,1180,1180,"Average",1970,"North_Ames",2,71.6593287202541
143000,1050,1043,"Average",1971,"North_Ames",1,73.7846676947359
76500,864,864,"Below_Average",1970,"North_Ames",2,62.5235397397086
120500,864,864,"Below_Average",1970,"North_Ames",2,70.5258182542609
124500,864,864,"Below_Average",1970,"North_Ames",2,71.136736717805
97000,864,864,"Below_Average",1971,"North_Ames",2,66.5915836397455
